Ano;Código;Modelo;Mês;Quantidade;AnoMes;Valor
2018;1010;Creta;1;2875;1.2018;65155
2018;1010;Creta;2;3070;2.2018;65155
2018;1010;Creta;3;3671;3.2018;65155
2018;1010;Creta;4;3785;4.2018;65155
2018;1010;Creta;5;3841;5.2018;65155
2018;1010;Creta;6;2913;6.2018;65155
2018;1010;Creta;7;4238;7.2018;65155
2018;1010;Creta;8;5277;8.2018;65155
2018;1010;Creta;9;4195;9.2018;65155
2018;1010;Creta;10;5026;10.2018;65155
2018;1010;Creta;11;5171;11.2018;65155
2018;1010;Creta;12;4920;12.2018;65155
2018;1010;HR-V;1;3874;1.2018;81412
2018;1010;HR-V;2;3600;2.2018;81412
2018;1010;HR-V;3;5358;3.2018;81412
2018;1010;HR-V;4;3522;4.2018;81412
2018;1010;HR-V;5;3656;5.2018;81412
2018;1010;HR-V;6;3139;6.2018;81412
2018;1010;HR-V;7;3444;7.2018;81412
2018;1010;HR-V;8;5021;8.2018;81412
2018;1010;HR-V;9;3972;9.2018;81412
2018;1010;HR-V;10;5352;10.2018;81412
2018;1010;HR-V;11;3305;11.2018;81412
2018;1010;HR-V;12;3719;12.2018;81412
2018;1012;Kicks;1;3331;1.2018;78108
2018;1012;Kicks;2;3457;2.2018;78108
2018;1012;Kicks;3;5532;3.2018;78108
2018;1012;Kicks;4;3701;4.2018;78108
2018;1012;Kicks;5;3189;5.2018;78108
2018;1012;Kicks;6;2629;6.2018;78108
2018;1012;Kicks;7;3157;7.2018;78108
2018;1012;Kicks;8;4792;8.2018;78108
2018;1012;Kicks;9;4000;9.2018;78108
2018;1012;Kicks;10;4663;10.2018;78108
2018;1012;Kicks;11;4040;11.2018;78108
2018;1012;Kicks;12;4328;12.2018;78108
2018;1013;Renegade;1;2514;1.2018;73159
2018;1013;Renegade;2;2200;2.2018;73159
2018;1013;Renegade;3;4252;3.2018;73159
2018;1013;Renegade;4;4462;4.2018;73159
2018;1013;Renegade;5;4378;5.2018;73159
2018;1013;Renegade;6;3628;6.2018;73159
2018;1013;Renegade;7;4034;7.2018;73159
2018;1013;Renegade;8;4465;8.2018;73159
2018;1013;Renegade;9;3386;9.2018;73159
2018;1013;Renegade;10;3693;10.2018;73159
2018;1013;Renegade;11;3845;11.2018;73159
2018;1013;Renegade;12;5498;12.2018;73159
2018;1014;EcoSport;1;2328;1.2018;73591
2018;1014;EcoSport;2;1899;2.2018;73591
2018;1014;EcoSport;3;2796;3.2018;73591
2018;1014;EcoSport;4;2932;4.2018;73591
2018;1014;EcoSport;5;3272;5.2018;73591
2018;1014;EcoSport;6;2761;6.2018;73591
2018;1014;EcoSport;7;3107;7.2018;73591
2018;1014;EcoSport;8;3034;8.2018;73591
2018;1014;EcoSport;9;2888;9.2018;73591
2018;1014;EcoSport;10;3167;10.2018;73591
2018;1014;EcoSport;11;2994;11.2018;73591
2018;1014;EcoSport;12;3320;12.2018;73591
2018;1015;Captur;1;1608;1.2018;63340
2018;1015;Captur;2;973;2.2018;63340
2018;1015;Captur;3;1367;3.2018;63340
2018;1015;Captur;4;1684;4.2018;63340
2018;1015;Captur;5;1698;5.2018;63340
2018;1015;Captur;6;2013;6.2018;63340
2018;1015;Captur;7;2616;7.2018;63340
2018;1015;Captur;8;3062;8.2018;63340
2018;1015;Captur;9;2329;9.2018;63340
2018;1015;Captur;10;3239;10.2018;63340
2018;1015;Captur;11;2554;11.2018;63340
2018;1015;Captur;12;3363;12.2018;63340
2018;1016;Tracker;1;2344;1.2018;74260
2018;1016;Tracker;2;1821;2.2018;74260
2018;1016;Tracker;3;2486;3.2018;74260
2018;1016;Tracker;4;2562;4.2018;74260
2018;1016;Tracker;5;2215;5.2018;74260
2018;1016;Tracker;6;2014;6.2018;74260
2018;1016;Tracker;7;2430;7.2018;74260
2018;1016;Tracker;8;2360;8.2018;74260
2018;1016;Tracker;9;1674;9.2018;74260
2018;1016;Tracker;10;2094;10.2018;74260
2018;1016;Tracker;11;2049;11.2018;74260
2018;1016;Tracker;12;2053;12.2018;74260
2018;1017;Duster;1;1215;1.2018;56237
2018;1017;Duster;2;930;2.2018;56237
2018;1017;Duster;3;1247;3.2018;56237
2018;1017;Duster;4;1633;4.2018;56237
2018;1017;Duster;5;1361;5.2018;56237
2018;1017;Duster;6;2016;6.2018;56237
2018;1017;Duster;7;2534;7.2018;56237
2018;1017;Duster;8;2701;8.2018;56237
2018;1017;Duster;9;1804;9.2018;56237
2018;1017;Duster;10;2702;10.2018;56237
2018;1017;Duster;11;2670;11.2018;56237
2018;1017;Duster;12;2768;12.2018;56237
2018;1018;2008;1;698;1.2018;53563
2018;1018;2008;2;584;2.2018;53563
2018;1018;2008;3;808;3.2018;53563
2018;1018;2008;4;763;4.2018;53563
2018;1018;2008;5;772;5.2018;53563
2018;1018;2008;6;604;6.2018;53563
2018;1018;2008;7;797;7.2018;53563
2018;1018;2008;8;1169;8.2018;53563
2018;1018;2008;9;839;9.2018;53563
2018;1018;2008;10;1046;10.2018;53563
2018;1018;2008;11;857;11.2018;53563
2018;1018;2008;12;808;12.2018;53563
2018;1019;C4 Cactus;1;0;1.2018;62961
2018;1019;C4 Cactus;2;0;2.2018;62961
2018;1019;C4 Cactus;3;0;3.2018;62961
2018;1019;C4 Cactus;4;0;4.2018;62961
2018;1019;C4 Cactus;5;13;5.2018;62961
2018;1019;C4 Cactus;6;0;6.2018;62961
2018;1019;C4 Cactus;7;4;7.2018;62961
2018;1019;C4 Cactus;8;0;8.2018;62961
2018;1019;C4 Cactus;9;190;9.2018;62961
2018;1019;C4 Cactus;10;793;10.2018;62961
2018;1019;C4 Cactus;11;1149;11.2018;62961
2018;1019;C4 Cactus;12;1151;12.2018;62961
2019;1013;Renegade;1;4783;1.2019;85395
2019;1013;Renegade;2;4706;2.2019;85395
2019;1013;Renegade;3;6184;3.2019;85395
2019;1013;Renegade;4;5714;4.2019;85395
2019;1013;Renegade;5;5754;5.2019;85395
2019;1013;Renegade;6;5911;6.2019;85395
2019;1013;Renegade;7;5790;7.2019;85395
2019;1013;Renegade;8;5188;8.2019;85395
2019;1013;Renegade;9;6089;9.2019;85395
2019;1013;Renegade;10;6680;10.2019;85395
2019;1013;Renegade;11;6233;11.2019;85395
2019;1013;Renegade;12;5705;12.2019;85395
2019;1010;Creta;1;3236;1.2019;71672
2019;1010;Creta;2;3984;2.2019;71672
2019;1010;Creta;3;3792;3.2019;71672
2019;1010;Creta;4;4387;4.2019;71672
2019;1010;Creta;5;4212;5.2019;71672
2019;1010;Creta;6;4638;6.2019;71672
2019;1010;Creta;7;5307;7.2019;71672
2019;1010;Creta;8;6643;8.2019;71672
2019;1010;Creta;9;4713;9.2019;71672
2019;1010;Creta;10;5324;10.2019;71672
2019;1010;Creta;11;4610;11.2019;71672
2019;1010;Creta;12;6625;12.2019;71672
2019;1012;Kicks;1;3486;1.2019;85950
2019;1012;Kicks;2;4137;2.2019;85950
2019;1012;Kicks;3;4864;3.2019;85950
2019;1012;Kicks;4;4121;4.2019;85950
2019;1012;Kicks;5;4520;5.2019;85950
2019;1012;Kicks;6;4703;6.2019;85950
2019;1012;Kicks;7;5299;7.2019;85950
2019;1012;Kicks;8;3887;8.2019;85950
2019;1012;Kicks;9;4497;9.2019;85950
2019;1012;Kicks;10;5550;10.2019;85950
2019;1012;Kicks;11;5035;11.2019;85950
2019;1012;Kicks;12;5971;12.2019;85950
2019;1010;HR-V;1;3667;1.2019;88021
2019;1010;HR-V;2;4256;2.2019;88021
2019;1010;HR-V;3;3796;3.2019;88021
2019;1010;HR-V;4;3927;4.2019;88021
2019;1010;HR-V;5;4155;5.2019;88021
2019;1010;HR-V;6;3897;6.2019;88021
2019;1010;HR-V;7;3856;7.2019;88021
2019;1010;HR-V;8;4054;8.2019;88021
2019;1010;HR-V;9;3839;9.2019;88021
2019;1010;HR-V;10;4137;10.2019;88021
2019;1010;HR-V;11;4762;11.2019;88021
2019;1010;HR-V;12;5145;12.2019;88021
2019;1020;T-Cross;1;0;1.2019;77410
2019;1020;T-Cross;2;38;2.2019;77410
2019;1020;T-Cross;3;150;3.2019;77410
2019;1020;T-Cross;4;1859;4.2019;77410
2019;1020;T-Cross;5;3003;5.2019;77410
2019;1020;T-Cross;6;2918;6.2019;77410
2019;1020;T-Cross;7;3151;7.2019;77410
2019;1020;T-Cross;8;4224;8.2019;77410
2019;1020;T-Cross;9;3776;9.2019;77410
2019;1020;T-Cross;10;5084;10.2019;77410
2019;1020;T-Cross;11;6256;11.2019;77410
2019;1020;T-Cross;12;6631;12.2019;77410
2019;1014;EcoSport;1;2798;1.2019;75860
2019;1014;EcoSport;2;2246;2.2019;75860
2019;1014;EcoSport;3;2573;3.2019;75860
2019;1014;EcoSport;4;2716;4.2019;75860
2019;1014;EcoSport;5;2716;5.2019;75860
2019;1014;EcoSport;6;2384;6.2019;75860
2019;1014;EcoSport;7;2530;7.2019;75860
2019;1014;EcoSport;8;3017;8.2019;75860
2019;1014;EcoSport;9;3262;9.2019;75860
2019;1014;EcoSport;10;3478;10.2019;75860
2019;1014;EcoSport;11;3211;11.2019;75860
2019;1014;EcoSport;12;3276;12.2019;75860
2019;1015;Captur;1;2557;1.2019;70393
2019;1015;Captur;2;1746;2.2019;70393
2019;1015;Captur;3;1872;3.2019;70393
2019;1015;Captur;4;1871;4.2019;70393
2019;1015;Captur;5;1841;5.2019;70393
2019;1015;Captur;6;3898;6.2019;70393
2019;1015;Captur;7;2680;7.2019;70393
2019;1015;Captur;8;2073;8.2019;70393
2019;1015;Captur;9;2729;9.2019;70393
2019;1015;Captur;10;2799;10.2019;70393
2019;1015;Captur;11;2837;11.2019;70393
2019;1015;Captur;12;1760;12.2019;70393
2019;1017;Duster;1;1911;1.2019;60024
2019;1017;Duster;2;1686;2.2019;60024
2019;1017;Duster;3;1892;3.2019;60024
2019;1017;Duster;4;2015;4.2019;60024
2019;1017;Duster;5;2490;5.2019;60024
2019;1017;Duster;6;3019;6.2019;60024
2019;1017;Duster;7;1777;7.2019;60024
2019;1017;Duster;8;1253;8.2019;60024
2019;1017;Duster;9;2055;9.2019;60024
2019;1017;Duster;10;2075;10.2019;60024
2019;1017;Duster;11;2749;11.2019;60024
2019;1017;Duster;12;3171;12.2019;60024
2019;1019;C4 Cactus;1;1016;1.2019;65004
2019;1019;C4 Cactus;2;1461;2.2019;65004
2019;1019;C4 Cactus;3;1138;3.2019;65004
2019;1019;C4 Cactus;4;1502;4.2019;65004
2019;1019;C4 Cactus;5;1484;5.2019;65004
2019;1019;C4 Cactus;6;1154;6.2019;65004
2019;1019;C4 Cactus;7;1474;7.2019;65004
2019;1019;C4 Cactus;8;1114;8.2019;65004
2019;1019;C4 Cactus;9;1479;9.2019;65004
2019;1019;C4 Cactus;10;1577;10.2019;65004
2019;1019;C4 Cactus;11;1358;11.2019;65004
2019;1019;C4 Cactus;12;1682;12.2019;65004
2019;1016;Tracker;1;1514;1.2019;84063
2019;1016;Tracker;2;1200;2.2019;84063
2019;1016;Tracker;3;1874;3.2019;84063
2019;1016;Tracker;4;1865;4.2019;84063
2019;1016;Tracker;5;1031;5.2019;84063
2019;1016;Tracker;6;1201;6.2019;84063
2019;1016;Tracker;7;1293;7.2019;84063
2019;1016;Tracker;8;1290;8.2019;84063
2019;1016;Tracker;9;1306;9.2019;84063
2019;1016;Tracker;10;1086;10.2019;84063
2019;1016;Tracker;11;1150;11.2019;84063
2019;1016;Tracker;12;1523;12.2019;84063
2017;1010;HR-V;1;3268;1.2017;75442
2017;1010;HR-V;2;3594;2.2017;75442
2017;1010;HR-V;3;4317;3.2017;75442
2017;1010;HR-V;4;3576;4.2017;75442
2017;1010;HR-V;5;4408;5.2017;75442
2017;1010;HR-V;6;4058;6.2017;75442
2017;1010;HR-V;7;3511;7.2017;75442
2017;1010;HR-V;8;4419;8.2017;75442
2017;1010;HR-V;9;3780;9.2017;75442
2017;1010;HR-V;10;4488;10.2017;75442
2017;1010;HR-V;11;4095;11.2017;75442
2017;1010;HR-V;12;4267;12.2017;75442
2017;1010;Creta;1;1182;1.2017;63077
2017;1010;Creta;2;2331;2.2017;63077
2017;1010;Creta;3;3487;3.2017;63077
2017;1010;Creta;4;3056;4.2017;63077
2017;1010;Creta;5;3751;5.2017;63077
2017;1010;Creta;6;3518;6.2017;63077
2017;1010;Creta;7;3169;7.2017;63077
2017;1010;Creta;8;4379;8.2017;63077
2017;1010;Creta;9;3466;9.2017;63077
2017;1010;Creta;10;4027;10.2017;63077
2017;1010;Creta;11;4164;11.2017;63077
2017;1010;Creta;12;5099;12.2017;63077
2017;1013;Renegade;1;2731;1.2017;69061
2017;1013;Renegade;2;2952;2.2017;69061
2017;1013;Renegade;3;3511;3.2017;69061
2017;1013;Renegade;4;2745;4.2017;69061
2017;1013;Renegade;5;2869;5.2017;69061
2017;1013;Renegade;6;2994;6.2017;69061
2017;1013;Renegade;7;3176;7.2017;69061
2017;1013;Renegade;8;4576;8.2017;69061
2017;1013;Renegade;9;3009;9.2017;69061
2017;1013;Renegade;10;3017;10.2017;69061
2017;1013;Renegade;11;3423;11.2017;69061
2017;1013;Renegade;12;3345;12.2017;69061
2017;1012;Kicks;1;1973;1.2017;72446
2017;1012;Kicks;2;2086;2.2017;72446
2017;1012;Kicks;3;3501;3.2017;72446
2017;1012;Kicks;4;1578;4.2017;72446
2017;1012;Kicks;5;1621;5.2017;72446
2017;1012;Kicks;6;2007;6.2017;72446
2017;1012;Kicks;7;2473;7.2017;72446
2017;1012;Kicks;8;3469;8.2017;72446
2017;1012;Kicks;9;3448;9.2017;72446
2017;1012;Kicks;10;3556;10.2017;72446
2017;1012;Kicks;11;4041;11.2017;72446
2017;1012;Kicks;12;3713;12.2017;72446
2017;1014;EcoSport;1;1661;1.2017;61568
2017;1014;EcoSport;2;1734;2.2017;61568
2017;1014;EcoSport;3;2217;3.2017;61568
2017;1014;EcoSport;4;2206;4.2017;61568
2017;1014;EcoSport;5;3096;5.2017;61568
2017;1014;EcoSport;6;3268;6.2017;61568
2017;1014;EcoSport;7;1464;7.2017;61568
2017;1014;EcoSport;8;2726;8.2017;61568
2017;1014;EcoSport;9;3159;9.2017;61568
2017;1014;EcoSport;10;3254;10.2017;61568
